id,xcentral,ycentral
0,202,83
1,198,87
2,221,98
3,240,102
4,252,108
5,246,102
6,208,91
7,158,84
8,117,84
9,85,91
10,68,93
11,71,90
12,96,84
13,136,79
14,180,85
15,225,94
16,249,103
17,259,110
18,251,100
19,216,87
20,170,75
21,154,74
22,146,74
23,150,87
24,152,104
25,154,123
26,153,128
27,153,123
28,152,111
29,150,91
30,151,80
31,157,70
32,163,65
33,161,67
34,162,73
35,162,89
36,162,107
37,161,123
38,162,135
39,159,140
40,157,139
41,150,130
42,150,109
43,150,92
44,150,80
45,154,76
46,152,72
47,150,75
48,149,85
49,158,91
50,159,92
51,159,90
52,160,88
53,161,88
54,160,93
55,162,109
56,162,129
57,161,140
58,160,145
59,159,125
60,160,105
61,158,85
62,158,73
63,158,67
64,158,64
65,160,66
66,158,74
67,156,85
68,150,93
69,158,98
70,194,98
71,233,106
72,249,114
73,258,116
74,256,113
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
